Organization Name,Organization Name URL,Actively Hiring,Founded Date,Founded Date Precision,Number of Employees,Full Description,Industries,Headquarters Location,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Description,CB Rank (Company),Last Funding Date,Funding Status,Number of Funding Rounds,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD)
Race Kingdom,https://www.crunchbase.com/organization/race-kingdom,,2022-01-01,year,11-50,"Race Kingdom is an income-generating game that brings a wide range of NFT creatures and racing arenas for a full multilingual metaverse experience. Race Kingdom will be available to all users in multiple languages, including, but not limited to, English, Arabic, Tagalog, Spanish, Vietnamese, and Portuguese. Race Kingdom has its own in-game token called $ATOZ. It acts as both, a game's native currency and an independent token with out-of-game value. $ATOZ is listed on seven exchanges, including Gate.io and MEXC.","Blockchain, Cryptocurrency, Gaming",,,,,Income-generating game that brings a wide range of NFT creatures for a full multilingual metaverse racing experience,"195,949",,,,,,,
Lumirithmic,https://www.crunchbase.com/organization/lumirithmic,,2020-11-01,month,11-50,"Lumirithmic provides solution for facilitating realistic facial capture that can be used for various applications including metaverse, retail experiences, video games, virtual reality, and film visual effects, in a matter of minutes. Our proprietary technology combines novel computational imaging with AI to provide cost-effective and accessible solutions, enabling any company around the world to deploy high-quality 3D appearance capture at scale for the mass market.","Computer Vision, eSports, Software, Video Games, Virtual Reality, Virtual World","London, England, United Kingdom",,,,Lumirithmic focuses on 3D appearance capture technology & specializes in highest quality hyper realistic facial scans.,"197,680",,,,,,,
Lunar Strategy,https://www.crunchbase.com/organization/lunar-strategy,,2019-05-19,day,11-50,"Lunar Strategy understands the significant shift away from traditional marketing strategies that Web3 projects require. Having partnered with leading crypto, NFT and metaverse companies worldwide, Lunar has mastered what it takes to succeed in this ever-competitive landscape. Our approach focuses on what matters most: genuine community growth, strategic partnerships, building long-term engagement and establishing authority.","Advertising, Digital Marketing","Gothenburg, Vastra Gotaland, Sweden",,,,Lunar Strategy: the Crypto & NFT Growth Agency,"198,111",,,,,,,
Metafluence,https://www.crunchbase.com/organization/metafluence,,2021-05-05,day,11-50,"Metafluence is set to transform Influencer Marketing into a metaverse economy by converting social media influencers into metaverse entrepreneurs while enhancing their relations with their audiences and brands. With vast experience in influencer marketing, the Metafluence team focuses to convert social media influencers into metaverse entrepreneurs by allowing influencers to create their own digital stores, sell their NFTs, work closely with brands and engage more with their audiences.  Metafluence is a Keepface company (keepface.com). Keepface is an influencer marketing platform that has been in development since 2017. Keepface has conducted 1600+ Influencer Campaigns in 39 countries across the globe, and the platform allows 5k+ advertisers to connect and work with 500k+ influencers worldwide.","Blockchain, Information Technology","Dubai, Dubai, United Arab Emirates",,,,Metafluence ecosystem enables influencers to monetize social power and creativity in the Metaverse.,"198,194",2022-01-08,Early Stage Venture,1,Series A,,,
Xiroverse,https://www.crunchbase.com/organization/xiro,,2022-03-06,day,11-50,"Xiroverse - your gateway into Web3 and the Metaverse. The company develops one-of-a-kind and distinctive new era Web3 GameFi and SocialFi. Founded in 2022, Xiro is currently based in London, United Kingdom & Bangalore, India",,"London, England, United Kingdom",,,,Xiroverse develops one-of-a-kind and distinctive new era global GameFi and SocialFi space and disrupting the existing Web3 model,"198,195",2022-05-06,Seed,1,Pre-Seed,,,
Cinder IO,https://www.crunchbase.com/organization/cinder-io,,2021-01-01,year,,"Cinder is a digital dreamworld made possible by blockchain technology. It’s a crypto-native social hub, creative commons, and free-form MMO community that’s evolving rapidly and empowering players in new ways.","Blockchain, Gaming","Salt Lake City, Utah, United States",,,,Cinder IO is a blockchain-native gaming metaverse created by the game industry veterans.,"198,231",2022-05-24,Early Stage Venture,1,Series A,,,
Interality,https://www.crunchbase.com/organization/interality,,2021-01-01,year,11-50,"Interality is building Metaverse infrastructure where creators and brands can launch their own miniverse ecosystems- Virtual Worlds, Branded Digital Assets, Virtual Experiences, and XR Storefronts, enabling application across social, entertainment and commerce.","Gaming, Information Technology, Internet","Bangalore, Karnataka, India",,,,Engine for Mixed Reality Worlds,"200,602",2022-07-27,Seed,1,Seed,,,
"A.V. Mapping Co., LTD",https://www.crunchbase.com/organization/a-v-mapping,,2020-01-07,day,1-10,"AV Mapping, find your perfect match video music & SFX from AI with audio editing in secs and share profits with musicians & creators.        A.V. Mapping, an award-winning one-stop AI video music matching & licensing platform with SFX and audio editing, changing media, film & music industries. Prevent creators from being disappointed from low profits & tedious production process, A.V. Mapping finds the most suitable licensed music for videos with AI in seconds. Bringing money into creator economy.       AI is now leading creators to compete with AI. Holding the web3.0 competition between musicians & AI in film scoring. Web 3.0 Metaverse Film Music Concert：AI vs Musicians A new ways for creators to share their commercial videos and creations, or musicians' talents and influence.       Our platform makes it 95% faster to select music and buy the copyrights compared with other solutions. Right now we have over 100k songs in our library, the tech is working great, and we have 7,000 creators and 30 business contracts.","Artificial Intelligence, Audio, Film, Independent Music, Music, Music Label, Podcast, Software, Trading Platform, Video Editing","Middletown, Delaware, United States",,,,"AV Mapping, find your perfect match video music & SFX from AI with audio editing in secs and share profits with musicians & creators.","202,836",2021-10-05,,1,Non-equity Assistance,,,
XMANNA,https://www.crunchbase.com/organization/xmanna,,2021-01-01,year,11-50,,"Apps, Blockchain, Commercial, Gaming, Software","Miami, Florida, United States",,,,"XMANNA is a patented SaaS solution (B2B2C) with gaming service protocols, loyalty applications, the metaverse, streaming & real NFTs.","203,485",,,,,,,
Mars4,https://www.crunchbase.com/organization/mars4,,2021-01-01,month,11-50,"Mars4 is a 3D survival game that uses blockchain technology that enables players to earn from playing the game. Although the game's primary goal is survival, it incorporates sandbox elements allowing players to explore the Red Planet, mine resources, build imaginative stations and drive vehicles. Survival on Mars requires cooperation and, as Mars4 is set to be a multiplayer metaverse, players can group and increase their earnings.","Blockchain, Internet",,,,,Mars4 is a 3D survival game that uses blockchain technology that enables players to earn from playing the game.,"203,573",,,,,,,
Deelance,https://www.crunchbase.com/organization/deelance,,2022-08-12,day,11-50,"Web3-based DeeLance is redefining how freelancers connect with potential employers and buyers of their work. It intends to build a new freelance economy that removes intermediaries, gives freelancers full ownership of their work, and ensures the ownership of purchased digital work for buyers. DeeLance’s decentralized platform entails micro-communities in a metaverse where buyers and sellers of creative works can meet, discuss ideas, network, and form bonds, and an NFT marketplace, where they can transact.","E-Commerce, Professional Services, Service Industry","Dubai, Dubai, United Arab Emirates",,,,Deelance is a freelancing and Recruitment platform based on Web3.,"203,739",2022-12-15,Seed,1,Seed,,,
neARabl,https://www.crunchbase.com/organization/nearabl,,2021-11-01,month,1-10,"NeARabl is a wayfinding and navigation tool that allows you to experience indoor maps and digital signage, record new paths and points of interest, and ensure that everyone has access to them. It’s easy to use, affordable, and customizable.  Digital signage for instructions, directions and more. All one QR code away. Welcome to (dare we say it) — our version of a useful “metaverse”. neARabl web AR technology turns provides extremely cost effective navigation and 3D website. experience the new internet at your fingertips! Customized iPhone/iPad applications featuring best-in-class indoor navigation accuracy. User friendly wayfinding and visualization. Augmented Reality-as-a-Service white-label on iOS native applications.  Save time ON-BOARDING new visitors in any building!  Supercharge your Artificial Intelligence by connecting to live facility events, run simulations and see your infrastructure develop over time. neARabl is integrated with Bentley Systems iTwin digital twin ecosystem – serving as an application on top of existing digital twins AND a channel for infrastructure projects interested in experiencing their own digital twin. WHY US? Five years of Research and Development by twenty five world leading experts in Computer Vision & Advanced Robotics. NeARabl was proudly born in a Research Lab in NYC. The company name was born out of our mission to enable individuals with low vision to navigate their surroundings. We use augmented reality AR to enable any individual to hear and see whats nearby. No new hardware required to scan, no expensive headsets to use. 25,000 sq feet in 25 minutes or less. For webAR experiences no set-up required!","Artificial Intelligence, Augmented Reality, Data Visualization, Events, Infrastructure, Software, Tourism","New York, New York, United States",,,,Mixed reality applications and 3D/4D visualization for infrastructure,"204,040",,,0,,,,
